State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Totals.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.12-17,Totals.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.12-17
Illinois,2004,1099965,1406715,7910382,64,0.05795,190,4537,0.172415,117,0.106022,14,0.013158,58,0.059355,70,0.063461,147,0.133622,141,0.128081
Indiana,2004,549720,709599,3856681,33,0.059268,94,2025,0.171187,67,0.122758,8,0.014933,29,0.061418,36,0.065375,73,0.132126,78,0.141892
Iowa,2004,240059,353384,1883725,18,0.07478,44,1060,0.18266,29,0.121681,4,0.017037,11,0.048695,14,0.059806,26,0.10846,35,0.146149
Kansas,2004,233656,327533,1673455,18,0.07612,45,898,0.194527,32,0.135292,4,0.016512,12,0.057027,16,0.067931,33,0.141515,39,0.166051
Kentucky,2004,336219,453022,2645240,20,0.06096,57,1155,0.170141,58,0.171692,5,0.016298,17,0.059068,26,0.077336,44,0.130061,71,0.21038
Louisiana,2004,398611,545993,2712415,20,0.050925,70,1318,0.175912,40,0.099469,5,0.011935,19,0.052294,23,0.05755,45,0.113924,49,0.122077
Maine,2004,108414,137266,884793,7,0.067226,21,473,0.191361,16,0.152147,2,0.018945,6,0.074833,13,0.122692,20,0.183738,19,0.179784
Maryland,2004,492847,571917,3512136,25,0.050499,77,1991,0.157054,52,0.105469,6,0.012091,26,0.061242,34,0.068759,71,0.144929,59,0.120622
Massachusetts,2004,511301,676924,4186567,27,0.053238,98,2625,0.19113,54,0.106224,10,0.019059,26,0.063198,49,0.094944,85,0.166698,71,0.139535
Michigan,2004,907902,1111809,6354775,51,0.05567,155,3645,0.170886,111,0.122424,14,0.015461,49,0.062168,68,0.07494,131,0.144362,127,0.139493
Minnesota,2004,437674,597384,3220581,27,0.061026,84,2093,0.191804,56,0.128476,8,0.017543,23,0.06053,34,0.078223,66,0.151591,69,0.158214
Mississippi,2004,255659,348523,1747645,11,0.044827,39,679,0.154336,28,0.111426,3,0.013421,11,0.047433,15,0.057937,28,0.10966,35,0.138222
Missouri,2004,486907,653900,3636194,34,0.070381,97,1807,0.199586,77,0.158138,8,0.017015,25,0.059048,37,0.075349,73,0.149672,94,0.192146
Montana,2004,77617,108976,599979,7,0.090116,16,357,0.212242,11,0.14678,1,0.016474,5,0.07686,7,0.094964,14,0.183428,15,0.195461
